datetime,dst,rssi,src,timestamp
2025-05-07 02:10:36,d8:32:14:45:a0:71,-75.0,04:99:bb:d8:6e:2e,1746580236.3379142
2025-05-07 02:10:36,d8:32:14:45:a0:71,-57.0,04:99:bb:d8:6e:2e,1746580236.3437645
2025-05-07 02:10:36,d8:32:14:45:a0:71,-58.0,04:99:bb:d8:6e:2e,1746580236.345466
2025-05-07 02:10:36,d8:32:14:45:a0:71,-76.0,04:99:bb:d8:6e:2e,1746580236.35262
2025-05-07 02:10:40,d8:32:14:45:a0:71,-63.0,04:99:bb:d8:6e:2e,1746580240.0189805
2025-05-07 02:10:40,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580240.020985
2025-05-07 02:10:40,d8:32:14:45:a0:71,-52.0,04:99:bb:d8:6e:2e,1746580240.022054
2025-05-07 02:10:40,d8:32:14:45:a0:71,-63.0,04:99:bb:d8:6e:2e,1746580240.0369403
2025-05-07 02:10:44,d8:32:14:45:a0:71,-61.0,04:99:bb:d8:6e:2e,1746580244.6292188
2025-05-07 02:10:44,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580244.6310186
2025-05-07 02:10:44,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580244.6435802
2025-05-07 02:10:44,d8:32:14:45:a0:71,-59.0,04:99:bb:d8:6e:2e,1746580244.6590278
2025-05-07 02:10:45,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1746580245.548199
2025-05-07 02:10:45,d8:32:14:45:a0:71,-46.0,04:99:bb:d8:6e:2e,1746580245.5516298
2025-05-07 02:10:45,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1746580245.5857134
2025-05-07 02:10:48,d8:32:14:45:a0:71,-57.0,04:99:bb:d8:6e:2e,1746580248.312169
2025-05-07 02:10:48,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580248.3141525
2025-05-07 02:10:48,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1746580248.3150787
2025-05-07 02:10:48,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1746580248.3159964
2025-05-07 02:10:48,d8:32:14:45:a0:71,-58.0,04:99:bb:d8:6e:2e,1746580248.3299587
2025-05-07 02:10:49,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580249.2313251
2025-05-07 02:10:49,d8:32:14:45:a0:71,-47.0,04:99:bb:d8:6e:2e,1746580249.2333026
2025-05-07 02:10:49,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1746580249.2342227
2025-05-07 02:10:49,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580249.249883
2025-05-07 02:10:51,d8:32:14:45:a0:71,-60.0,04:99:bb:d8:6e:2e,1746580251.078309
2025-05-07 02:10:51,d8:32:14:45:a0:71,-56.0,04:99:bb:d8:6e:2e,1746580251.1299338
2025-05-07 02:10:51,d8:32:14:45:a0:71,-59.0,04:99:bb:d8:6e:2e,1746580251.993129
2025-05-07 02:10:51,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1746580251.9948714
2025-05-07 02:10:51,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1746580251.995779
2025-05-07 02:10:52,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1746580252.006575
2025-05-07 02:10:52,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1746580252.0094311
2025-05-07 02:10:52,d8:32:14:45:a0:71,-47.0,04:99:bb:d8:6e:2e,1746580252.011292
2025-05-07 02:10:52,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1746580252.0149686
2025-05-07 02:10:52,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1746580252.0195234
2025-05-07 02:10:52,d8:32:14:45:a0:71,-49.0,04:99:bb:d8:6e:2e,1746580252.0257516
2025-05-07 02:10:52,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1746580252.0284932
2025-05-07 02:10:52,d8:32:14:45:a0:71,-49.0,04:99:bb:d8:6e:2e,1746580252.0323606
2025-05-07 02:10:52,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1746580252.0350847
2025-05-07 02:10:52,d8:32:14:45:a0:71,-49.0,04:99:bb:d8:6e:2e,1746580252.0393376
2025-05-07 02:10:52,d8:32:14:45:a0:71,-50.0,04:99:bb:d8:6e:2e,1746580252.0420573
2025-05-07 02:10:52,d8:32:14:45:a0:71,-50.0,04:99:bb:d8:6e:2e,1746580252.0448463
2025-05-07 02:10:52,d8:32:14:45:a0:71,-53.0,04:99:bb:d8:6e:2e,1746580252.0607183
2025-05-07 02:10:52,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580252.104301
2025-05-07 02:10:52,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1746580252.1072133
2025-05-07 02:10:52,d8:32:14:45:a0:71,-52.0,04:99:bb:d8:6e:2e,1746580252.1106522
2025-05-07 02:10:52,d8:32:14:45:a0:71,-52.0,04:99:bb:d8:6e:2e,1746580252.1130576
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.1350038
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.1379423
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.1417677
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.1449208
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.1478608
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.1508384
2025-05-07 02:10:52,d8:32:14:45:a0:71,-50.0,04:99:bb:d8:6e:2e,1746580252.1537104
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.1568441
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.1594448
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.1621213
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.163862
2025-05-07 02:10:52,d8:32:14:45:a0:71,-50.0,04:99:bb:d8:6e:2e,1746580252.1719692
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.1771662
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.179766
2025-05-07 02:10:52,d8:32:14:45:a0:71,-52.0,04:99:bb:d8:6e:2e,1746580252.182446
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.1851423
2025-05-07 02:10:52,d8:32:14:45:a0:71,-52.0,04:99:bb:d8:6e:2e,1746580252.186967
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.1887155
2025-05-07 02:10:52,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580252.1932993
2025-05-07 02:10:52,d8:32:14:45:a0:71,-57.0,04:99:bb:d8:6e:2e,1746580252.1983492
2025-05-07 02:10:52,d8:32:14:45:a0:71,-50.0,04:99:bb:d8:6e:2e,1746580252.2092588
2025-05-07 02:10:52,d8:32:14:45:a0:71,-50.0,04:99:bb:d8:6e:2e,1746580252.2158375
2025-05-07 02:10:52,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1746580252.2222433
2025-05-07 02:10:52,d8:32:14:45:a0:71,-47.0,04:99:bb:d8:6e:2e,1746580252.2268126
2025-05-07 02:10:52,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1746580252.2295043
2025-05-07 02:10:52,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1746580252.2313042
2025-05-07 02:10:52,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1746580252.2330396
